item,type,driver,column,row,x_min,x_max,y_min,y_max,source_level,note,module,part_group,x_center,y_center,z_center,diameter,radius,cut_axis,feature_class,assembly_label,component_name,component_path,parent_component,parent_transform_found,fixed,matrix_status,local_x_mm,local_y_mm,local_z_mm,raw_transform_x_center,raw_transform_y_center,raw_transform_z_center,bbox_center_x,bbox_center_y,bbox_center_z,z_min,z_max,x_len,y_len,z_len,geometry_source,step_source,width_variant_adjustment,door_height,template_name,template_source,template_source_length,template_scale_y,hardware_type,y_relation,y_offset,template_unit,template_height,door_width,flat_width,flat_height,sheet_thickness,return_depth,lock_hole_center_x,lock_hole_center_y,lock_mount_hole_policy,hinge_axis_x,bend_id,bend_radius,flat_extra_mm,formed_length_mm,bend_angle_deg,line_axis
SW_cabinet_vertical_L_explicit,fixed_center_vertical_structure,center_control_band,,,-83.0,-21.2,28.8,1858.2,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_L_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_L,-62.6,1658.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_L_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_L,-62.6,1724.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_cabinet_vertical_R_explicit,fixed_center_vertical_structure,center_control_band,,,21.2,83.0,28.8,1858.2,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_R_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_R,62.6,1658.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_R_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_R,62.6,1724.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_door_frame_vertical_L_explicit,fixed_center_vertical_structure,center_control_band,,,-38.0,-21.2,26.5,1860.5,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_L_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_L,-25.0,1629.75,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_L_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_L,-25.0,1782.25,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_door_frame_vertical_R_explicit,fixed_center_vertical_structure,center_control_band,,,21.2,38.0,26.5,1860.5,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_R_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_R,25.0,1629.75,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_R_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_R,25.0,1782.25,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_025_底座_模型_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-500.0,500.0,-0.0,27.8,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,0.0,0.0,0.0,,,,,base|底座焊接|底座焊接,底座 模型-1,C:\sw16029_standard_ascii\底座 模型.sldprt,底座焊接-1,True,True,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,-284.75,-550.0,-19.5,1000.0,27.8,530.5,step_backed,C:\sw16029_standard_ascii\base_model_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_026_底座底板_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-479.0,479.0,20.8,27.8,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,0.0,0.0,0.0,,,,,base|底座焊接|底座焊接,底座底板-1,C:\sw16029_standard_ascii\底座底板.sldprt,底座焊接-1,True,True,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,-274.25,-529.0,-19.5,958.0,7.0,509.5,step_backed,C:\sw16029_standard_ascii\base_bottom_plate_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_027_底座外框_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-500.0,500.0,-0.0,26.8,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,0.0,0.0,0.0,,,,,base|底座焊接|底座焊接,底座外框-1,C:\sw16029_standard_ascii\底座外框.sldprt,底座焊接-1,True,True,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,-293.4,-550.0,-36.8,1000.0,26.8,513.2,step_backed,C:\sw16029_standard_ascii\base_outer_frame_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_028_底座加强筋_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-489.7,489.7,-0.0,26.8,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,0.0,0.0,0.0,,,,,base|底座焊接|底座焊接,底座加强筋-1,C:\sw16029_standard_ascii\底座加强筋.sldprt,底座焊接-1,True,True,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,-81.0,-115.0,-47.0,979.4,26.8,68.0,step_backed,C:\sw16029_standard_ascii\base_rib_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_029_底座加强筋_2,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-489.7,489.7,-0.0,26.8,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,0.0,0.0,-575.0,,,,,base|底座焊接|底座焊接,底座加强筋-2,C:\sw16029_standard_ascii\底座加强筋.sldprt,底座焊接-1,True,False,ok,0.0,0.0,-575.0,0.0,0.0,-575.0,0.0,13.4,-494.0,-528.0,-460.0,979.4,26.8,68.0,step_backed,C:\sw16029_standard_ascii\base_rib_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_030_螺母M12_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-475.392,-454.608,-8.8,2.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,-465.0,2.0,-74.5,,,,,base|底座焊接|底座焊接,螺母M12-1,C:\sw16029_standard_ascii\螺母M12.SLDPRT,底座焊接-1,True,False,ok,-465.0,2.0,-74.5,-465.0,2.0,-74.5,-465.0,-3.4,-74.5,-84.892,-64.108,20.785,10.8,20.785,step_backed,C:\sw16029_standard_ascii\nut_m12_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_031_螺母M12_2,sw_api_module_reference,solidworks_api_v002_transform_composed,,,454.608,475.392,-8.8,2.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,465.0,2.0,-74.5,,,,,base|底座焊接|底座焊接,螺母M12-2,C:\sw16029_standard_ascii\螺母M12.SLDPRT,底座焊接-1,True,False,ok,465.0,2.0,-74.5,465.0,2.0,-74.5,465.0,-3.4,-74.5,-84.892,-64.108,20.785,10.8,20.785,step_backed,C:\sw16029_standard_ascii\nut_m12_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_032_螺母M12_3,sw_api_module_reference,solidworks_api_v002_transform_composed,,,454.608,475.392,-8.8,2.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,465.0,2.0,-500.5,,,,,base|底座焊接|底座焊接,螺母M12-3,C:\sw16029_standard_ascii\螺母M12.SLDPRT,底座焊接-1,True,False,ok,465.0,2.0,-500.5,465.0,2.0,-500.5,465.0,-3.4,-500.5,-510.892,-490.108,20.785,10.8,20.785,step_backed,C:\sw16029_standard_ascii\nut_m12_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_base_033_螺母M12_4,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-475.392,-454.608,-8.8,2.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,base,,-465.0,2.0,-500.5,,,,,base|底座焊接|底座焊接,螺母M12-4,C:\sw16029_standard_ascii\螺母M12.SLDPRT,底座焊接-1,True,False,ok,-465.0,2.0,-500.5,-465.0,2.0,-500.5,-465.0,-3.4,-500.5,-510.892,-490.108,20.785,10.8,20.785,step_backed,C:\sw16029_standard_ascii\nut_m12_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_maintenance_door_127_应急维护门_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-34.0,34.0,21.3,1855.5,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,maintenance_door,,0.0,943.0,-16.0,,,,,maintenance_door|应急维护门焊接|应急维护门焊接,应急维护门-1,C:\sw16029_standard_ascii\应急维护门.SLDPRT,应急维护门焊接-1,True,True,ok,0.0,0.0,0.0,0.0,943.0,-16.0,0.0,938.4,-9.0,-18.0,0.0,68.0,1834.2,18.0,step_backed,C:\sw16029_standard_ascii\maintenance_door_panel_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_maintenance_door_128_维护门锁孔_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-20.0,20.0,1731.5,1751.5,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,maintenance_door,,0.0,1751.5,-0.8,,,,,maintenance_door|应急维护门焊接|应急维护门焊接,维护门锁孔-1,C:\sw16029_standard_ascii\维护门锁孔.SLDPRT,应急维护门焊接-1,True,False,ok,0.0,808.5,15.2,0.0,1751.5,-0.8,0.0,1741.5,-22.8,-44.8,-0.8,40.0,20.0,44.0,step_backed,C:\sw16029_standard_ascii\maintenance_door_lock_hole_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_latch_system_129_按钮插销固定板_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-45.0,45.0,1765.5,1835.5,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,latch_system,,-0.0,1800.5,-20.1,,,,,latch_system|按钮插销装配|按钮插销装配,按钮插销固定板-1,C:\sw16029_standard_ascii\按钮插销固定板.SLDPRT,按钮插销装配-1,True,True,ok,0.0,0.0,0.0,-0.0,1800.5,-20.1,-0.0,1800.5,-25.3,-31.3,-19.3,90.0,70.0,12.0,step_backed,C:\sw16029_standard_ascii\push_latch_mount_plate.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_latch_system_130_自动锁闭插销_索科斯D_3016Z_2_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,-10.5,10.5,1743.5,1865.5,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,latch_system,,-0.0,1795.0,-29.6,,,,,latch_system|按钮插销装配|按钮插销装配,自动锁闭插销(索科斯D-3016Z-2)-1,C:\sw16029_standard_ascii\自动锁闭插销(索科斯D-3016Z-2).SLDPRT,按钮插销装配-1,True,False,ok,0.0,9.5,5.5,-0.0,1795.0,-29.6,-0.0,1804.5,-29.6,-39.1,-20.1,21.0,122.0,19.0,step_backed,C:\sw16029_standard_ascii\auto_lock_latch_d3016z2.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_lock_system_131_电路板支架_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,65.0,405.0,1860.0,1890.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,lock_system,,235.0,1860.0,-279.5,,,,,lock_system|锁控板装配组件|锁控板装配组件,电路板支架-1,C:\sw16029_standard_ascii\电路板支架.SLDPRT,锁控板装配组件-1,True,True,ok,0.0,0.0,0.0,235.0,1860.0,-279.5,235.0,1875.0,-274.5,-449.5,-99.5,340.0,30.0,350.0,step_backed,C:\sw16029_standard_ascii\electronics_board_bracket_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_lock_system_132_WIFI串口服务器_USR_WIFI232_610_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,108.5,195.0,1861.0,1886.5,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,lock_system,,151.75,1861.0,-182.0,,,,,lock_system|锁控板装配组件|锁控板装配组件,WIFI串口服务器(USR-WIFI232-610)-1,C:\sw16029_standard_ascii\WIFI串口服务器(USR-WIFI232-610).SLDPRT,锁控板装配组件-1,True,False,ok,83.25,1.0,-97.5,151.75,1861.0,-182.0,151.75,1873.75,-179.5,-228.5,-130.5,86.5,25.5,98.0,step_backed,C:\sw16029_standard_ascii\wifi_serial_server_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_lock_system_133_LK_4_6_V2_0_24口锁控板_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,215.0,375.0,1871.0,1885.6,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,lock_system,,295.0,1872.6,-179.0,,,,,lock_system|锁控板装配组件|锁控板装配组件,LK-4-6-V2.0 24口锁控板-1,C:\sw16029_standard_ascii\LK-4-6-V2.0 24口锁控板.SLDPRT,锁控板装配组件-1,True,False,ok,-60.0,12.6,-100.5,295.0,1872.6,-179.0,295.0,1878.3,-179.0,-237.5,-120.5,160.0,14.6,117.0,step_backed,C:\sw16029_standard_ascii\lock_control_board_24ch_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_lock_system_134_开关模式电源_装配_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,108.5,361.5,1861.0,1909.0,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,lock_system,,235.0,1861.0,-372.0,,,,,lock_system|锁控板装配组件|锁控板装配组件,开关模式电源 装配-1,C:\sw16029_standard_ascii\开关模式电源 装配.SLDASM,锁控板装配组件-1,True,False,ok,-0.0,1.0,92.5,235.0,1861.0,-372.0,235.0,1885.0,-371.0,-420.5,-321.5,253.0,48.0,99.0,step_backed,C:\sw16029_standard_ascii\switching_power_supply_assembly_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_API_lock_system_135_M9_V1_1_1,sw_api_module_reference,solidworks_api_v002_transform_composed,,,212.0,375.0,1871.0,1888.1,solidworks_api_step_backed_transform_v002,STEP-backed where mapping is unambiguous; otherwise reference marker generated from SolidWorks Transform2,lock_system,,293.5,1871.0,-186.5,,,,,lock_system|锁控板装配组件|锁控板装配组件,M9 V1.1-1,C:\sw16029_standard_ascii\M9 V1.1.SLDPRT,锁控板装配组件-1,True,False,ok,-58.5,11.0,-93.0,293.5,1871.0,-186.5,293.5,1879.55,-186.5,-252.5,-120.5,163.0,17.1,132.0,step_backed,C:\sw16029_standard_ascii\m9_v11_from_sw.step,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_rebuilt_sheetmetal_rib_rib_length_rule_W88p4_L243p929_L01,door_rib,door_local_coordinate,L,1,,,,,gold_rib_extrusion_length_rule_verified,"rib length = door_height - 10.5; exact STEP when available, otherwise scaled from nearest rib template",,,-258.5,159.214,,,,,,,,,,,,,,,,,,,,,,-14.8,-0.8,88.4,243.929,14.0,,,,254.429,rib_length_rule_W88p4_L243p929,D:\机械结构工程师智能体\outputs\freecad\locker_16029_rib_length_rule_W88p4_L243p929_v1.step,243.929,1.0,,,,,,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_01_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,271.629,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,top_from_half,-14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_latch_mount_plate_02_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,46.8,-7.4,,,,,,,,,,,,,,,,,,,,,,,18.0,28.0,13.2,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,latch_mount_plate,bottom_from_half,14.8,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_u_lock_hook_pad_03_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-55.0,159.214,-6.05,,,,,,,,,,,,,,,,,,,,,,,24.8,70.0,10.5,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,u_lock_hook_pad,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_04_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,284.429,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,top_from_half,-2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_plastic_bushing_05_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,34.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,13.0,7.0,13.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,plastic_bushing,bottom_from_half,2.0,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_door_hinge_pin_06_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,22.3,-7.0,,,,,,,,,,,,,,,,,,,,,,,6.0,87.0,6.0,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,door_hinge_pin,bottom_from_half,-9.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_07_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,256.729,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,top_from_half,-29.7,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_hinge_retainer_plate_08_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,61.2,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,bottom_from_half,29.2,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_electric_lock_hook_09_L01,door_hardware_step_repositioned,door_local_coordinate,L,1,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-55.0,159.214,-25.944,,,,,,,,,,,,,,,,,,,,,,,20.55,34.04,29.288,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,electric_lock_hook,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_exact_sheetmetal_door_panel_gold_seam_signature_W437_H254429_step_valid_p4_golds131164_L01,door_module,door_local_coordinate,L,1,,,32.0,286.429,freecad_gold_seam_production_signature_candidate,"door drives panel, weldment, rib, lock, hinge and local hardware references",,,-258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,gold_seam_signature_W437_H254429_step_valid_p4_golds131164,C:\sw16029_standard_ascii\door_panel_W437_H254429_gold_seam_strict_step_valid_p4_golds131164.step,,1.0,,,,,254.429,437.0,475.4,290.829,0.8,15.0,-55.0,159.214,suppressed_for_non_2_12_panel_dxf_and_step_signature,-467.0,,,,,,
META_left_vertical_bend_L01,door_bend_semantic_feature,door_local_coordinate,L,1,-477.6,-476.4,32.0,286.429,ordinary_door_bend_semantic_gold_verified,left side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-477.0,159.214,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,left_vertical_bend,1.0,19.2,254.429,90,Y
META_right_vertical_bend_L01,door_bend_semantic_feature,door_local_coordinate,L,1,-40.6,-39.4,32.0,286.429,ordinary_door_bend_semantic_gold_verified,right side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-40.0,159.214,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,right_vertical_bend,1.0,19.2,254.429,90,Y
META_bottom_horizontal_bend_L01,door_bend_semantic_feature,door_local_coordinate,L,1,-477.0,-40.0,31.4,32.6,ordinary_door_bend_semantic_gold_verified,bottom return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-258.5,32.0,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,bottom_horizontal_bend,1.0,18.2,437.0,90,X
META_top_horizontal_bend_L01,door_bend_semantic_feature,door_local_coordinate,L,1,-477.0,-40.0,285.829,287.029,ordinary_door_bend_semantic_gold_verified,top return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-258.5,286.429,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,top_horizontal_bend,1.0,18.2,437.0,90,X
REF_lock_hole_center_L01,lock_hole_reference,door_local_coordinate,L,1,-57.0,-53.0,157.214,161.214,gold_standard_sw_transform_step_verified,ordinary 1/12..6/12 lock center basis; SW v002 and exact STEP verify lock-side hardware local_y=0 = door center,,,-55.0,159.214,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_side_arc_relief_L01,side_arc_relief_cut,door_local_coordinate,L,1,-42.0,-38.0,157.214,161.214,gold_dxf_flat_pattern_semantic,R2 side relief arc from ordinary door panel DXF; visible geometry cut in folded panel,,,-40.0,159.214,0.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_electric_lock_hook_L01,lock_hook_reference,door_local_coordinate,L,1,-59.0,-51.0,153.214,165.214,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-11.3; verified from SolidWorks v002 transform and exact STEP centered candidate,,,-55.0,159.214,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_u_lock_hook_pad_L01,lock_pad_reference,door_local_coordinate,L,1,-61.0,-49.0,149.214,169.214,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-10.5; verified from SolidWorks v002 transform and exact STEP centered candidate,,,-55.0,159.214,-10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
